t,count
1513090526,60
1513091426,120
1513092326,122
1513093226,121
1513094126,120
1513095026,120
1513095926,121
1513096826,121
1513097726,120
1513098626,121
1513099526,122
1513100426,122
1513101326,122
1513102226,121
1513103126,121
1513104026,122
1513104926,122
1513109271,42
1513110171,42
1513110800,54
1513111700,114
1513112600,124
1513113500,124
1513114400,124
1513115300,123
1513116200,123
1513117100,123
1513118000,124
1513118900,124
1513119800,124
1513120700,124
1513121600,124
1513122500,124
1513123400,124
1513124300,124
1513125200,124
1513126100,124
1513127000,122
1513127900,122
1513128800,124
1513129700,123
1513130600,123
1513131500,123
1513132400,124
1513133300,124
1513134200,123
1513135100,123
1513136000,124
1513136900,124
1513137800,124
1513138700,124
1513139600,124
1513140500,124
1513141400,124
1513142300,124
1513143200,124
1513144100,123
1513145000,123
1513145900,121
1513146800,121
1513147700,124
1513148600,124
1513149500,124
1513150400,124
1513151300,124
1513152200,124
1513153100,124
1513154000,124
1513154900,124
1513155800,124
1513156700,124
1513157583,124
1513158483,123
1513159383,123
1513160283,124
1513161183,123
1513162083,123
1513162983,124
1513163883,124
1513164783,124
1513165683,124
1513166583,124
1513167483,124
1513168383,124
1513169283,124
1513170183,124
1513171083,124
1513171983,124
1513172883,123
1513173783,123
1513174683,124
1513175583,124
1513176483,124
1513177383,124
1513178283,124
1513179183,124
1513180083,124
1513180983,124
1513181883,123
1513182783,123
1513183683,124
1513184583,124
1513185483,124
1513186383,124
1513187283,124
1513188183,124
1513189083,124
1513189983,124
1513190883,123
1513191783,123
1513192683,122
1513193583,123
1513194483,123
1513195383,110
1513196283,88
1513198542,38
1513199442,75
1513200342,76
1513201242,76
1513202142,76
1513203042,76
1513203942,76
1513204842,77
1513205742,77
1513206642,77
1513207542,77
1513208442,76
1513209342,76
1513210242,77
1513211142,77
1513212042,77
1513212942,77
1513213842,76
1513214742,76
1513215642,75
1513216542,75
1513217442,76
1513218342,76
1513219242,76
1513220142,76
1513221042,75
1513221942,76
1513222842,77
1513223742,77
1513224642,77
1513225542,77
1513226442,76
1513227342,76
1513228242,77
1513229142,76
1513230042,76
1513230942,77
1513231842,76
1513232742,76
1513233642,76
1513234542,76
1513235442,76
1513236342,76
1513237242,76
1513238142,76
1513239042,77
1513239942,81
1513240842,101
1513241742,98
1513243476,42
1513244376,74
1513245276,76
1513246176,76
